course_title,course_subtitle,course_description,course_type,duration,price,location,course_delivery
   SQL for Data Analytics," Babington   
 				","Gain hands-on expertise to work with SQL for data science with the SQL for Data Analytics course and lab. Lab...
 			",   Professional Training, Online courses,  Virtual Classroom (Online),  ,
   HNC Data Analytics," Activate Learning   
 				","Enter the technology industry on the front foot, with a new breed of qualifications....
 			",   Vocational & College Courses, 1 year, Oxford,  Classroom,  
   HNC Digital Technologies (Data Analytics)," Activate Learning   
 				","Enter the technology industry on the front foot, with a new breed of qualifications....
 			",   Vocational & College Courses, 1 year, Reading,  Classroom,  
   Certificate in Financial Data Analytics with Python Skills," Fitch Learning   
 				","This course offers an intensive hands-on introduction to the use of Python in financial data analysis, utilizing powerful libraries to...
 			",   Professional Training, 5 days," From 2,695 GBP", Online courses,  Virtual Classroom (Online)
   Understanding Financial Data Analytics," London Business Training & Consulting   
 				","By attending this interactive 90-minute online course, you will understand how your organization can use analytics to improve operational performance....
 			",   Professional Training, 1.5 hours, From 158 GBP, Online courses,  Online
   Fraud Data Science and Fraud Analytics," Euromoney Learning   
 				","This 15-hour course spread over three days will provide you with practical skills and enable you to help your organisation...
 			",   Professional Training, 3 days," From 2,704 GBP", Online courses,  Online
   Financial Data Analytics with Python," Fitch Learning   
 				","This course offers an intensive hands-on introduction to the use of Python in financial data analysis, utilizing powerful libraries to...
 			",   Professional Training, 1 day, From 795 GBP, Online courses,  Virtual Classroom (Online)
   MSc Applied Data Analytics Level 7 Apprenticeship," BPP Professional Education   
 				","The MSc Applied Data Analytics combines technical data skills with business acumen, along with the ability to present information in...
 			",   Apprenticeship training for companies, 24 months, Online courses,  Virtual Classroom (Online),  
   Fundamentals of Data Analytics with Python," Fitch Learning   
 				","This course offers a practical introduction to the use of Python for data analysis by covering fundamental concepts and applications....
 			",   Professional Training, 2 days," From 1,295 GBP", Online courses,  Virtual Classroom (Online)
   Business Analytics (ICAS)," BPP Professional Education   
 				","Thanks to the ever increasing sophistication and power of IT and associated technologies, along with their reducing costs, organisations now...
 			",   Professional Training, 1 day, From 320 GBP, Online courses,  Virtual Classroom (Online)
   Data Analysis Management for Beginners," Global Edulink   
 				","Data Analysis Management for Beginners Course Overview Multinational corporations such as LinkedIn or Pinterest are having to use complex data...
 			",   Professional Training, 5 hours, From 49 GBP, Online courses,  Online
"   Data Analytics and Social Statistics - MSc, PGDip"," The University of Manchester   
 				","The field of data analytics is developing rapidly. With the rise of ever larger and more specialised datasets, it’s essential...
 			",   Masters, Online courses,  Virtual Classroom (Online),  ,
